Drug,Target
D-tartaric acid,ATP6V1C1
Prasterone,ESR1
Prasterone,ESR2
Prasterone,GRIN1
Prasterone,GRIN2A
Prasterone,GRIN2B
Prasterone,GRIN2C
Prasterone,GRIN2D
Prasterone,GRIN3A
Prasterone,GRIN3B
Prasterone,PPARA
2-phospho-D-glyceric acid,ENO3
"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1H-1,3-benzodiazole-5-carboximidamide",PLAU
L-Phospholactate,PKM
3-(Oxalyl-Amino)-Naphthalene-2-Carboxylic Acid,PTPN1
[3-(Dodecanoylamino)Propyl](Hydroxy)Dimethylammonium,SLC25A4
Phosphorylcolamine,PRKCB
1-naphthaleneacetic acid,SKP1
S-adenosyl-L-homocysteine,PRMT1
S-adenosyl-L-homocysteine,SETD7
"3,4-Dihydroxy-1-Methylquinolin-2(1h)-One",PIM1
4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine,MAPK14
Beta-(2-Naphthyl)-Alanine,PIN1
"3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione",GSK3B
M-Cresol,INS
Fusicoccin,YWHAE
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",MAPK8IP1
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",MAPK8
Piclamilast,PDE4A
Piclamilast,PDE4B
Piclamilast,PDE4C
Piclamilast,PDE4D
SB-409513,GSK3B
"N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea",MAPK14
"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",HCK
"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",RET
Phosphoenolpyruvate,ENO3
"Compound 12, N-Acetyl-4-[(Carboxycarbonyl)(2-Carboxyphenyl)Amino]-N-Pentyl-1-Napthylalaniamide",PTPN1
"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide",NOS3
"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide",NOS1
Beta-D-Glucopyranose Spirohydantoin,PYGM
"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid",LCK
L-2-Amino-4-(Guanidinooxy)Butyric Acid,NOS3
"3-Amino-8,9,10-Trihydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione",PYGM
"Inositol 1,3,4,5-Tetrakisphosphate",AKT1
"Inositol 1,3,4,5-Tetrakisphosphate",CYTH2
"Inositol 1,3,4,5-Tetrakisphosphate",CYTH3
"Inositol 1,3,4,5-Tetrakisphosphate",PDPK1
5'-Guanosine-Diphosphate-Monothiophosphate,ARF6
RU79256,SRC
Benzophenone,ESR1
Benzophenone,ESR2
"4-[5-(Trans-4-Aminocyclohexylamino)-3-Isopropylpyrazolo[1,5-a]Pyrimidin-7-Ylamino]-N,N-Dimethylbenzenesulfonamide",CDK2
"N,N-Bis(3-(D-gluconamido)propyl)deoxycholamide",PPARA
N6-Benzyl Adenosine-5'-Diphosphate,SRC
Sucrosofate,FGF1
Sucrosofate,FGFR2
2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,PLAU
RU85493,SRC
Putrescine,ADRB1
Putrescine,ADRB2
Pentanal,PRKACA
Carboxymycobactin S,LCN2
"Dcka, 5,7-Dichlorokynurenic Acid",GRIN1
7-Hydroxystaurosporine,PDPK1
Balanol Analog 2,PRKACA
"6-[1-(3,5,5,8,8-Pentamethyl-5,6,7,8-Tetrahydronaphthalen-2-Yl)Cyclopropyl]Pyridine-3-Carboxylic Acid",RXRB
Formic Acid,HMOX1
Formic Acid,CTBP1
Formic Acid,NOS1
Formic Acid,CYTH2
Formic Acid,FGF1
"3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1-Methyl-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione",PDPK1
RU78262,SRC
"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One",MAPK14
"N-(4-Methoxybenzyl)-N'-(5-Nitro-1,3-Thiazol-2-Yl)Urea",GSK3B
Inhibitor of P38 Kinase,MAPK14
Rolipram,PDE4D
Rolipram,PDE4B
"1,4-Butanediol",PLA2G2E
Taurine,GRIN2B
Taurine,GABBR1
"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4B
"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4D
7n-Methyl-8-Hydroguanosine-5'-Diphosphate,EIF4E
Phosphonotyrosine,HCK
Phosphonotyrosine,SRC
Phosphonotyrosine,KIT
"Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide",PDE3B
Guanosine-5'-Monophosphate,DLG4
6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,PLAU
6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine,MAPK14
Coenzyme A,DBI
Coenzyme A,HMGCR
Coenzyme A,KAT2A
3-Bromo-7-Nitroindazole,NOS3
3-Bromo-7-Nitroindazole,NOS1
alpha-D-glucose 6-phosphate,HK1
alpha-D-glucose 6-phosphate,PYGM
Staurosporine,LCK
Staurosporine,PIM1
Staurosporine,SYK
Staurosporine,MAPKAPK2
Staurosporine,GSK3B
Staurosporine,CDK2
Staurosporine,PDPK1
Staurosporine,PRKCQ
Staurosporine,ZAP70
Staurosporine,CHRM1
Compound 9,PTPN1
N-{(4s)-4-Amino-5-[(2-Aminoethyl)Amino]Pentyl}-N'-Nitroguanidine,NOS3
N-{(4s)-4-Amino-5-[(2-Aminoethyl)Amino]Pentyl}-N'-Nitroguanidine,NOS1
N-(3-(Aminomethyl)Benzyl)Acetamidine,NOS3
N-(3-(Aminomethyl)Benzyl)Acetamidine,NOS1
"1,2,4-Triazole-Carboxamidine",NOS3
Indirubin-3'-Monoxime,CDK1
Indirubin-3'-Monoxime,GSK3B
Indirubin-3'-Monoxime,CDK2
(S)-AMPA,GRIA2
SU4984,FGFR2
SU4984,FGFR1
Adenosine-5-Diphosphoribose,EEF2
Adenosine-5-Diphosphoribose,GAPDH
"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",PTPN1
Biliverdine IX Alpha,HMOX1
L-N(omega)-Nitroarginine-(4R)-Amino-L-Proline Amide,NOS3
L-N(omega)-Nitroarginine-(4R)-Amino-L-Proline Amide,NOS1
Triglyme,PFN2
Triglyme,FYN
Triglyme,PPIF
CP-526423,PYGL
"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",CDK2
2-Chlorodideoxyadenosine,HSP90B1
"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",THRB
Protoporphyrin Ix Containing Co,CYCS
Olomoucine,CDK2
Olomoucine,CDK1
Olomoucine,MAPK1
"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",NOS3
N-Isopropyl-N'-Hydroxyguanidine,NOS1
K-252a,MET
K-252a,MAP2K1
Balanol Analog 8,PRKACA
"9,10-Deepithio-9,10-Didehydroacanthifolicin",PPP1CC
Malonic acid,SRC
Equilin,ESR1
"3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine",MAPK14
"4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide",CDK2
7-Nitroindazole,NOS3
"Hexane-1,6-Diol",HRAS
S-Methylcysteine,CTSD
S-Ethylisothiourea,NOS3
"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide",PTPN1
Platelet Activating Factor,PTAFR
O2-Sulfo-Glucuronic Acid,FGF1
Flufenamic Acid,PTGS2
Flufenamic Acid,PPARA
Flufenamic Acid,PPARG
1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,MAPK14
2-(2-Hydroxy-Phenyl)-3h-Benzoimidazole-5-Carboxamidine,PLAU
2-Amino-6-Chloropyrazine,CDK2
1-N-Acetyl-Beta-D-Glucosamine,PYGM
1-N-Acetyl-Beta-D-Glucosamine,PYGL
Heparin Disaccharide I-S,CCL5
Isopropyl Alcohol,GDF5
Isopropyl Alcohol,TNF
2-Aminothiazoline,NOS3
RU83876,SRC
2-Methoxyestradiol,HIF1A
Selenocysteine,CAMP
2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid,GRIA2
Fluoro-Phosphite Ion,PYGM
3-(Benzyloxy)Pyridin-2-Amine,MAPK14
Heparin Disaccharide Iii-S,CCL5
"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine",HSP90AA1
Myricetin,JAK1
Beta-D-Glucose,PYGM
Beta-D-Glucose,GCK
Beta-D-Glucose,HK1
Beta-D-Glucose,PYGL
6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine,PLAU
"4-Hydroxy-1,2,5-Oxadiazole-3-Carboxylic Acid",LDHB
6-O-Cyclohexylmethyl Guanine,CDK2
"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",PTPN1
Geldanamycin,HSP90AB1
Geldanamycin,HSP90AA1
Geldanamycin,HSP90B1
Carboxyatractyloside,SLC25A4
RU90395,SRC
2-{4-[(2s)-2-[({[(1s)-1-Carboxy-2-Phenylethyl]Amino}Carbonyl)Amino]-3-Oxo-3-(Pentylamino)Propyl]Phenoxy}Malonic Acid,PTPN1
"3,8,9,10-Tetrahydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione",PYGM
N-Tridecanoic Acid,PLA2G2E
B-nonylglucoside,KCNJ3
12-Phenylheme,HMOX1
Nojirimycine Tetrazole,PYGM
"6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",PLAU
Phosphonothreonine,PRKACA
Phosphonothreonine,PRKACB
Phosphonothreonine,MAPK12
Phosphonothreonine,PRKCQ
Phosphonothreonine,MAPK1
Etheno-Nad,LDHA
4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine,FGFR2
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP1CA
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP2R1A
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP2CA
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP2R5C
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP2R2A
"1,6-Fructose Diphosphate (Linear Form)",ALDOA
Indirubin-5-Sulphonate,PYGM
CRA_10655,PLAU
gamma-Aminobutyric acid,GABBR1
gamma-Aminobutyric acid,GABBR2
"N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide",CDK2
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
"8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine",HSP90AA1
"6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",PLAU
Pentaglyme,PFN2
Colforsin,ADCY2
Colforsin,GNAS
Colforsin,ADCY5
Colforsin,CFTR
Se-Ethyl-Isoselenourea,NOS3
1-Amino-6-Cyclohex-3-Enylmethyloxypurine,CDK2
2-Deoxy-Glucose-6-Phosphate,PYGM
Balanol Analog 1,PRKACA
Compound 19,PTPN1
Compound 19,ESR1
Sp7343-Sp7964,PTPN1
2-(Oxalyl-Amino)-Benzoic Acid,PTPN1
Aminophosphonic Acid-Guanylate Ester,CDC42
"9-Hydroxy-8-Methoxy-6-Nitro-Phenanthrol[3,4-D][1,3]Dioxole-5-Carboxylic Acid",PLA2G2E
Terlipressin,AVPR1B
N-Omega-Propyl-L-Arginine,NOS1
N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide,CDK2
"{[2-(1h-1,2,3-Benzotriazol-1-Yl)-2-(3,4-Difluorophenyl)Propane-1,3-Diyl]Bis[4,1-Phenylene(Difluoromethylene)]}Bis(Phosphonic Acid)",PTPN1
LY-294002,PIM1
Filaminast,PDE4B
Novo Nordisk a/S Compound,PTPN1
"2-[3-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Propylamino]-2-Hydroxymethyl-Propane-1,3-Diol",PDE4D
Nicotinamide,LDHA
"6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",PLAU
Resveratrol,PTGS2
Resveratrol,ITGA5
Resveratrol,ITGB3
Resveratrol,ESR1
Resveratrol,SLC2A1
Resveratrol,PPARA
Resveratrol,PPARG
Resveratrol,AKT1
"2,3,-Dihydroxybenzoylserine",LCN2
Compound 18,ESR1
7-Methyl-Guanosine-5'-Triphosphate,EIF4E
C-(1-Hydrogyl-Beta-D-Glucopyranosyl) Formamide,PYGM
Alpha-D-Glucopyranosyl-2-Carboxylic Acid Amide,PYGM
2-Phosphoglycolic Acid,PKM
2-Phosphoglycolic Acid,ENO2
2-Phosphoglycolic Acid,ENO3
N-Butyl-N'-Hydroxyguanidine,NOS1
Purvalanol,CDK4
Purvalanol,MAPK1
Purvalanol,MAPK3
Purvalanol,CDK2
Phthalic Acid,ESR1
Phthalic Acid,PGR
Phthalic Acid,ESR2
Phthalic Acid,PPARA
Phthalic Acid,PPARD
Phthalic Acid,PPARG
Phthalic Acid,RXRA
Phthalic Acid,RXRB
Phthalic Acid,RXRG
"9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine",HSP90AB1
"9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine",HSP90AA1
Pyrazole,ESR1
Pyrazole,ESR2
Indolylpropionic Acid,PLA2G2E
RU79072,SRC
5-Mercapto-2-Nitro-Benzoic Acid,IL12B
"1,3-Propandiol",ARF1
"2,5-Anhydroglucitol-1,6-Biphosphate",FBP1
Dodecane-Trimethylamine,PTPN11
N-[4-(2-{2-[3-(2-Bromo-Acetylamino)-Propionylamino]-3-Hydroxy-Propionylamino}-Ethyl)-Phenyl]-Oxalamic Acid,PTPN1
P-Anisic Acid,PLA2G2E
Iodo-Willardiine,GRIA2
"7-(1,1-Dioxo-1h-Benzo[D]Isothiazol-3-Yloxymethyl)-2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid",PTPN1
[4-(2-Amino-4-Methyl-Thiazol-5-Yl)-Pyrimidin-2-Yl]-(3-Nitro-Phenyl)-Amine,CDK2
"4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid",HSP90AA1
alpha-D-glucose-1-phosphate,PYGM
"{4-[3-(6,7-Diethoxy-Quinazolin-4-Ylamino)-Phenyl]-Thiazol-2-Yl}-Methanol",FBP1
Calyculin A,PPP1CC
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine",CALM1
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine",CALM2
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine",CALM3
"Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone",MDM2
"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One",MAPK14
5-{[(2-Amino-9h-Purin-6-Yl)Oxy]Methyl}-2-Pyrrolidinone,CDK2
Stanolone,ESR1
RU78783,SRC
Octanoyl-Coenzyme A,ACADM
"2,4-Diamino-6-Phenyl-5,6,7,8,-Tetrahydropteridine",NOS3
"4-(2,4-Dimethyl-1,3-thiazol-5-yl)-N-[4-(trifluoromethyl)phenyl]-2-pyrimidinamine",CDK2
6-(4-Difluoromethoxy-3-Methoxy-Phenyl)-2h-Pyridazin-3-One,PDE4D
Diglyme,HSP90B1
Hymenialdisine,CDK1
Hymenialdisine,CDK2
Alpha-Aminoisobutyric Acid,NPY
Ricinoleic Acid,CNR1
"(5-Chloropyrazolo[1,5-a]Pyrimidin-7-Yl)-(4-Methanesulfonylphenyl)Amine",CDK2
"8,9,10-Trihydroxy-7-Hydroxymethyl-2-Thioxo-6-Oxa-1,3-Diaza-Spiro[4.5]Decan-4-One",PYGM
Fluoro-Willardiine,GRIA2
4-(5-Bromo-2-Oxo-2h-Indol-3-Ylazo)-Benzenesulfonamide,CDK2
PNU177836,PTPN1
"N1,N14-Bis((S-Methyl)Isothioureido)Tetradecane",NOS3
Para-Mercury-Benzenesulfonic Acid,ESR2
"4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline",MAPK14
S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea,NOS1
Cacodylic acid,NOS3
Methyltrienolone,PGR
Methyltrienolone,NCOA2
Quisqualate,GRIA2
Lauric Acid,HNF4A
Lauric Acid,PPARA
"4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine",CDK2
"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",LCK
"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",LYN
"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",SRC
1h-Benoximidazole-2-Carboxylic Acid,CTSD
1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea,MAPK14
7-Methoxy-8-[1-(Methylsulfonyl)-1h-Pyrazol-4-Yl]Naphthalene-2-Carboximidamide,PLAU
7-Nitroindazole-2-Carboxamidine,NOS3
"4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid",PYGM
PASBN,SRC
6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide,PLAU
IC261,CSNK1G2
Pidolic Acid,VEGFA
"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine",HSP90AA1
N-Aminoethylmorpholine,CTSD
6-Nitroindazole,NOS3
"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid",PTPN1
RU82129,SRC
2-Chlorophenol,MAPK14
PAS219,SRC
"5-Bromo-N-(2,3-Dihydroxypropoxy)-3,4-Difluoro-2-[(2-Fluoro-4-Iodophenyl)Amino]Benzamide",MAP2K1
5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid,CASP3
Benzamidine,PLAU
Acetylcholine,CHRM1
Acetylcholine,CHRM3
"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole",PYGM
4-Iodobenzo[B]Thiophene-2-Carboxamidine,PLAU
"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine",HSP90AA1
N-Omega-Hydroxy-L-Arginine,NOS3
N-Omega-Hydroxy-L-Arginine,NOS1
Flavin adenine dinucleotide,ACADM
Flavin adenine dinucleotide,NOS1
Flavin adenine dinucleotide,ACOX1
{[7-(Difluoro-Phosphono-Methyl)-Naphthalen-2-Yl]-Difluoro-Methyl}-Phosphonic Acid,PTPN1
CRA_8696,PLAU
(S)-Hmg-Coa,HMGCR
KB-141,THRB
KB-141,THRA
"2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione",THRB
"1-(4-Aminophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4D
Stearic acid,PPARA
DPI59,SRC
N-Acetyl-N'-Beta-D-Glucopyranosyl Urea,PYGM
Diphthamide,EEF2
Trifluoroethanol,HRAS
"(S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid",GRIA2
Flavin mononucleotide,RPS6KA4
Flavin mononucleotide,NOS1
Flavin mononucleotide,SGK1
"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole",PYGM
RU82197,SRC
"4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid",GRB2
C-(1-Azido-Alpha-D-Glucopyranosyl) Formamide,PYGM
5-Chloro-1h-Indole-2-Carboxylic Acid{[Cyclopentyl-(2-Hydroxy-Ethyl)-Carbamoyl]-Methyl}-Amide,PYGL
Benzylsulfinic Acid,SOD2
Phenylphosphate,SRC
N5-Iminoethyl-L-Ornithine,NOS3
RU78300,SRC
4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide,CDK2
"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid [4-(Thiazol-2-Ylsulfamoyl)-Phenyl]-Amide",PTPN1
"1,4-Diethylene Dioxide",TGFB3
Heme C,CYCS
(S)-ATPA,GRIA2
"5,6-Cyclic-Tetrahydropteridine",NOS3
Heptyl-Beta-D-Glucopyranoside,PPARD
"Inositol-(1,3,4,5,6)-Pentakisphosphate",CYTH3
Triethyl Phosphate,TP53
8-Bromo-Adenosine-5'-Monophosphate,PDE4B
"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole",PYGM
"4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline",CDK2
Imidazole,PIM1
Imidazole,CYCS
"3,5-Diiodotyrosine",PRKACA
L-Tyrosinamide,NPY
Hexadecanal,DBI
5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide,PYGM
"(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester",PYGM
"1D-myo-inositol 1,4,5-trisphosphate",CYTH2
"1D-myo-inositol 1,4,5-trisphosphate",PLCD1
"1D-myo-inositol 1,4,5-trisphosphate",ITPR1
3-Thiaoctanoyl-Coenzyme A,ACADM
SU9516,CDK1
SU9516,CDK2
Cardiolipin,SLC25A4
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",GSK3B
N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine,NOS1
2'-Monophosphoadenosine 5'-Diphosphoribose,ME1
2'-Monophosphoadenosine 5'-Diphosphoribose,NOS1
2'-Monophosphoadenosine 5'-Diphosphoribose,HMGCR
Naringenin,ESR1
Naringenin,ESR2
Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine,PLAU
1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole,PTGS2
"8,9,10-Trihydroxy-7-Hydroxymethyl-3-Methyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione",PYGM
4-Benzoylamino-4-{1-{1-Carbamoyl-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethylcarbamoyl}-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethylcarbamoyl}-Butyric Acid,PTPN1
"3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole",CDK2
Alvocidib,CDK2
Alvocidib,CDK1
Alvocidib,CDK6
Alvocidib,EGFR
Alvocidib,CDK4
Alvocidib,PYGM
Alvocidib,PYGB
Alvocidib,PYGL
"9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine",HSP90AA1
Eniluracil,AOX1
RU79073,SRC
3-Tyrosine,TH
N-{1-[5-(1-Carbamoyl-2-Mercapto-Ethylcarbamoyl)-Pentylcarbamoyl]-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethyl}-3-{2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Acetylamino}-Succinamic Acid,PTPN1
Spermidine,ADRB1
Spermidine,ADRB2
Phencyclidine,GRIN3A
"(2e,3s)-3-Hydroxy-5'-[(4-Hydroxypiperidin-1-Yl)Sulfonyl]-3-Methyl-1,3-Dihydro-2,3'-Biindol-2'(1'h)-One",CDK2
Oxyphenbutazone,PLA2G2E
RU82209,SRC
Capric acid,PPARG
Tiratricol,THRB
(S)-Rolipram,PDE4D
(S)-Rolipram,PDE4B
ISO24,SRC
Phosphonoacetohydroxamic Acid,ENO3
(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One,PIM1
1-Deoxy-1-Methoxycarbamido-Beta-D-Glucopyranose,PYGM
Cysteinesulfonic Acid,PTPN1
Cysteinesulfonic Acid,CDC25B
"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol",CDK2
"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid",PTPN1
N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide,CSNK1G2
S-Ethyl-N-Phenyl-Isothiourea,NOS3
S-Ethyl-N-Phenyl-Isothiourea,NOS1
N5-(1-Imino-3-Butenyl)-L-Ornithine,NOS1
RU85053,SRC
4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid,PTPN1
N-Ethyl-5'-Carboxamido Adenosine,HSP90B1
2-Amino-5-Hydroxy-Benzimidazole,PLAU
"4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One",CDK2
